"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
10,12,7,16,16,15,8,13,24,26
13,7,9,17,5,13,6,13,22,14
2,8,1,7,5,5,3,7,8,9
3,3,3,3,3,6,4,2,5,4
5,5,8,7,4,7,6,8,13,10
1,3,2,2,2,2,2,2,6,4
2,0,1,3,1,4,0,3,7,5
9,14,4,13,18,18,7,22,24,34
1,4,1,3,3,4,0,6,5,6
0,6,2,2,4,4,3,6,7,8
1,1,0,1,2,2,2,1,4,7
16,22,11,26,14,17,13,21,37,37
2,5,1,1,3,2,2,4,3,5
0,3,1,0,4,1,2,6,1,6
3,8,1,3,4,6,2,9,11,13
0,6,0,1,8,2,2,5,2,15
0,1,0,1,0,1,0,2,3,3
1,5,1,0,2,0,1,4,1,5
6,13,6,11,10,10,6,11,23,17
13,20,7,14,18,13,12,19,28,33
2,7,4,3,2,6,3,4,8,4
0,1,3,1,3,2,0,5,4,7
3,1,2,4,3,5,1,6,5,4
2,4,3,3,3,4,2,4,7,4
10,9,7,17,7,15,7,8,28,17
2,8,4,6,7,9,5,13,12,10
4,2,1,3,1,2,2,4,8,4
4,2,4,4,1,4,1,4,11,5
4,5,1,5,4,7,5,8,11,10
2,3,2,4,3,1,0,5,8,6
3,12,1,6,7,4,7,9,10,13
11,21,10,15,15,17,10,27,32,44
2,6,3,4,3,4,2,7,7,8
6,7,4,7,6,4,2,6,8,14
6,7,3,8,4,5,1,6,13,18
2,5,2,2,2,4,2,6,6,5
1,3,1,4,3,1,1,3,4,4
11,9,12,17,7,14,6,7,31,15
1,3,3,3,2,4,1,3,5,3
4,8,5,7,6,5,6,9,9,10
8,6,9,6,9,8,5,8,19,18
4,4,3,6,1,4,1,1,7,6
4,4,1,2,5,1,3,4,3,9
4,3,1,6,1,4,0,9,8,11
3,4,3,4,1,5,1,2,6,4
1,4,2,1,2,2,3,2,6,2
0,2,0,0,2,1,0,2,2,2
10,8,9,13,3,11,1,7,20,10
5,4,2,5,2,6,6,5,9,6
0,2,1,1,3,3,1,2,4,3
3,5,2,5,4,3,1,3,9,6
5,2,3,5,6,4,1,2,7,12
5,8,5,5,9,7,4,10,10,13
2,5,2,4,7,4,6,3,7,11
8,12,6,15,9,11,8,18,19,26
4,6,2,1,3,2,1,4,10,6
1,2,1,2,2,3,1,4,5,4
1,2,1,2,1,4,0,2,7,5
0,3,1,0,2,2,3,3,2,5
1,6,1,5,3,2,4,3,6,9
1,4,2,2,0,2,1,3,2,5
3,2,1,4,2,4,6,1,7,2
2,7,3,6,6,4,3,7,6,12
0,3,1,2,4,1,3,5,3,7
6,4,5,13,4,16,7,3,19,8
5,4,3,5,0,4,0,2,6,0
2,3,1,5,4,2,2,4,9,5
1,1,1,0,1,0,0,2,4,4
2,2,2,2,3,1,1,2,5,3
1,1,1,2,1,3,0,1,4,6
3,4,1,2,2,5,4,4,6,2
6,7,2,7,5,5,4,4,9,7
1,6,1,7,4,6,2,9,5,11
1,6,1,4,4,3,3,5,5,8
11,8,7,10,5,7,6,5,16,13
1,5,1,3,4,4,6,5,7,7
3,2,3,5,1,2,2,1,5,2
2,4,1,3,5,2,3,6,3,9
5,6,5,5,5,4,5,5,8,8
5,9,7,10,6,8,4,9,12,10
1,1,0,1,0,1,1,1,5,2
8,8,6,9,6,7,6,6,11,12
2,3,3,2,2,4,1,3,5,5
0,2,0,3,0,2,0,2,2,3
3,3,3,9,4,9,3,3,13,6
1,6,1,2,5,2,2,3,6,5
2,4,1,2,3,4,3,5,6,4
4,12,5,5,8,7,8,10,16,14
2,5,3,5,6,6,2,6,5,12
2,4,1,3,1,8,3,5,10,6
